LabelName1,LabelName2,RelationshipLabel
Man,Snake,interacts_with
Man,Tennis ball,hits
Girl,Snake,interacts_with
Man,Snowboard,holds
Girl,Table tennis racket,holds
Boy,Chopsticks,holds
Woman,Backpack,wears
Boy,Tennis racket,holds
Girl,Van,inside_of
Man,Knife,holds
Boy,Wine glass,holds
Girl,Hamster,interacts_with
Cat,Bench,on
Woman,Elephant,interacts_with
Dog,Van,inside_of
Cat,Chair,under
Man,Spoon,holds
Woman,Tennis ball,holds
Boy,Motorcycle,on
Mug,Coffee table,on
Cat,Motorcycle,on
Girl,Dolphin,interacts_with
Boy,Racket,holds
Woman,Ski,wears
Girl,Elephant,interacts_with
Woman,Tennis ball,hits
Cat,Coffee table,on
Woman,Dolphin,interacts_with
Woman,Rugby ball,holds
Woman,Chopsticks,holds
Woman,Fork,holds
Man,Chopsticks,holds
Boy,Piano,plays
Woman,Taxi,inside_of
Dog,Chair,under
Boy,Ski,wears
Boy,Coffee cup,holds
Cat,Oven,on
Cat,Handbag,inside_of
Boy,Flute,plays
Girl,Monkey,interacts_with
Girl,Fork,holds
Woman,Monkey,interacts_with
Boy,Spoon,holds
Woman,Hamster,interacts_with
Dog,Bench,under
Cat,Sofa bed,on
Woman,Snowboard,holds
Boy,Elephant,interacts_with
Cat,Table,under
Girl,Ski,wears
Dog,Coffee table,under
Beer,Desk,on
Boy,Dolphin,interacts_with
Boy,Fork,holds
Woman,Backpack,holds
Girl,Tennis ball,hits
Girl,Suitcase,wears
Girl,Snowboard,holds
Boy,Knife,holds
Boy,Handbag,holds
Man,Fork,holds
Cat,Car,under
Man,Briefcase,holds
Dog,Desk,on
Man,Tennis ball,holds
Boy,Suitcase,holds
Boy,Monkey,interacts_with
Boy,Suitcase,wears
Boy,Taxi,inside_of
Cat,Microwave oven,on
